Academic Year,InState,International Status,Ethnicity,ChurchAffiliation,ClassLevel,Gender,StudentCount,vegitarian
2010,FALSE,International Student,International Student,Christian Reformed,Junior,Female,21,yes
2010,FALSE,International Student,International Student,Christian Reformed,Junior,Male,19,yes
2010,FALSE,International Student,International Student,Christian Reformed,Senior,Female,31,yes
2010,FALSE,International Student,International Student,Christian Reformed,Senior,Male,13,yes
2010,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,10,yes
2010,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,5,yes
2010,FALSE,International Student,International Student,Other,First-year,Female,24,yes
2010,FALSE,International Student,International Student,Other,First-year,Male,38,yes
2010,FALSE,International Student,International Student,Other,Junior,Female,10,yes
2010,FALSE,International Student,International Student,Other,Junior,Male,17,yes
2010,FALSE,International Student,International Student,Other,Senior,Female,21,yes
2010,FALSE,International Student,International Student,Other,Senior,Male,11,yes
2010,FALSE,International Student,International Student,Other,Sophomore,Female,22,yes
2010,FALSE,International Student,International Student,Other,Sophomore,Male,30,yes
2010,TRUE,International Student,International Student,Christian Reformed,Junior,Female,1,yes
2010,TRUE,International Student,International Student,Christian Reformed,Junior,Male,2,yes
2010,TRUE,International Student,International Student,Christian Reformed,Senior,Male,1,yes
2010,TRUE,International Student,International Student,Christian Reformed,Sophomore,Female,2,yes
2010,TRUE,International Student,International Student,Christian Reformed,Sophomore,Male,2,yes
2010,TRUE,International Student,International Student,Other,First-year,Female,3,yes
2010,TRUE,International Student,International Student,Other,First-year,Male,2,yes
2010,TRUE,International Student,International Student,Other,Junior,Female,4,yes
2010,TRUE,International Student,International Student,Other,Junior,Male,1,yes
2010,TRUE,International Student,International Student,Other,Senior,Female,1,yes
2010,TRUE,International Student,International Student,Other,Senior,Male,1,yes
2010,TRUE,International Student,International Student,Other,Sophomore,Female,2,yes
2010,TRUE,International Student,International Student,Other,Sophomore,Male,2,yes
2011,FALSE,International Student,International Student,Christian Reformed,First-year,Female,14,yes
2011,FALSE,International Student,International Student,Christian Reformed,First-year,Male,8,yes
2011,FALSE,International Student,International Student,Christian Reformed,Junior,Female,9,yes
2011,FALSE,International Student,International Student,Christian Reformed,Junior,Male,8,yes
2011,FALSE,International Student,International Student,Christian Reformed,Senior,Female,22,yes
2011,FALSE,International Student,International Student,Christian Reformed,Senior,Male,16,yes
2011,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,6,yes
2011,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,13,yes
2011,FALSE,International Student,International Student,Other,First-year,Female,29,yes
2011,FALSE,International Student,International Student,Other,First-year,Male,41,yes
2011,FALSE,International Student,International Student,Other,Junior,Female,20,yes
2011,FALSE,International Student,International Student,Other,Junior,Male,25,yes
2011,FALSE,International Student,International Student,Other,Senior,Female,17,yes
2011,FALSE,International Student,International Student,Other,Senior,Male,23,yes
2011,FALSE,International Student,International Student,Other,Sophomore,Female,25,yes
2011,FALSE,International Student,International Student,Other,Sophomore,Male,36,yes
2011,TRUE,International Student,International Student,Christian Reformed,First-year,Male,1,yes
2011,TRUE,International Student,International Student,Christian Reformed,Junior,Female,2,yes
2011,TRUE,International Student,International Student,Christian Reformed,Junior,Male,1,yes
2011,TRUE,International Student,International Student,Christian Reformed,Senior,Female,1,yes
2011,TRUE,International Student,International Student,Christian Reformed,Senior,Male,2,yes
2011,TRUE,International Student,International Student,Other,First-year,Female,7,yes
2011,TRUE,International Student,International Student,Other,First-year,Male,2,yes
2011,TRUE,International Student,International Student,Other,Junior,Female,1,yes
2011,TRUE,International Student,International Student,Other,Junior,Male,1,yes
2011,TRUE,International Student,International Student,Other,Senior,Female,4,yes
2011,TRUE,International Student,International Student,Other,Senior,Male,2,yes
2011,TRUE,International Student,International Student,Other,Sophomore,Female,3,yes
2011,TRUE,International Student,International Student,Other,Sophomore,Male,3,yes
2012,FALSE,International Student,International Student,Christian Reformed,First-year,Female,20,yes
2012,FALSE,International Student,International Student,Christian Reformed,First-year,Male,7,yes
2012,FALSE,International Student,International Student,Christian Reformed,Junior,Female,6,yes
2012,FALSE,International Student,International Student,Christian Reformed,Junior,Male,12,yes
2012,FALSE,International Student,International Student,Christian Reformed,Senior,Female,8,yes
2012,FALSE,International Student,International Student,Christian Reformed,Senior,Male,9,yes
2012,FALSE,International Student,International Student,Christian Reformed,Sophomore,Female,10,yes
2012,FALSE,International Student,International Student,Christian Reformed,Sophomore,Male,8,yes
2012,FALSE,International Student,International Student,Other,First-year,Female,48,yes
2012,FALSE,International Student,International Student,Other,First-year,Male,43,yes
2012,FALSE,International Student,International Student,Other,Junior,Female,23,yes
2012,FALSE,International Student,International Student,Other,Junior,Male,30,yes
2012,FALSE,International Student,International Student,Other,Senior,Female,26,yes
2012,FALSE,International Student,International Student,Other,Senior,Male,39,yes
